id,split,time_seconds,status,base_width_raw_px,base_width_mm,perpendicular_height_raw_px,perpendicular_height_mm,upper_side_length_raw_px,upper_side_length_mm,lower_side_length_raw_px,lower_side_length_mm,triangle_area_raw_px2,triangle_area_mm2,triangle_perimeter_raw_px,triangle_perimeter_mm,apex_angle_deg,model,model_label,A_x_roi_px,A_y_roi_px,B_x_roi_px,B_y_roi_px,C_x_roi_px,C_y_roi_px,A_x_raw_px,A_y_raw_px,B_x_raw_px,B_y_raw_px,C_x_raw_px,C_y_raw_px,measurement_approved
V01_f0000006,train,0.2,unvalidated_triangle,127.3406419720431,,318.9185503711906,,319.1275385277015,,347.84903272570546,,20305.646470530388,,794.3172132254501,,21.45931516737606,full,TopoFiberDINO Coordinate (ours),200.51208245754242,123.69866296648979,518.1545476913452,120.89971080422401,523.8569900989532,247.52435088157654,130.91205600368784,950.9410982787382,450.02198110238777,947.5882561631969,455.96648413504926,1074.7900721154338,False
V01_f0000007,train,0.23333333333333334,unvalidated_triangle,99.99996257364502,,352.6290877868732,,358.6156650609037,,354.33690490834255,,17631.44779053295,,812.9525325428913,,16.111409317569887,full,TopoFiberDINO Coordinate (ours),185.29909685254097,129.73187863826752,542.0322703123093,129.23090904951096,524.0694218873978,227.07076370716095,110.3476498179149,963.3774612416557,468.9631916531193,963.674751196154,450.6859553842888,1061.9902390355771,False
V01_f0000009,train,0.3,unvalidated_triangle,115.95225425886875,,329.4060219869124,,329.4071197296922,,348.93661386028833,,19097.685407914487,,794.2959878488492,,19.408475948093855,full,TopoFiberDINO Coordinate (ours),184.9691982269287,120.41263282299042,510.81179022789,118.00314858555794,511.3638231754303,232.70248621702194,102.46066336279765,963.380619764233,431.86130180416933,961.3142405568994,432.2893278196324,1077.265704805711,False
V01_f0000010,train,0.33333333333333337,unvalidated_triangle,104.10489201291217,,331.5646653668382,,332.6020598912429,,340.58286544033587,,17258.751841656027,,777.289817344491,,17.74092630197606,full,TopoFiberDINO Coordinate (ours),214.90314984321594,153.77559140324593,541.6293342113495,132.289856672287,540.262638092041,234.7673624753952,118.80449474504347,1000.3868968039724,450.74916891986265,979.485616200357,449.071201410179,1083.5769845555503,False
V01_f0000011,train,0.3666666666666667,unvalidated_triangle,97.04833200184726,,307.4125576399126,,314.92243021622534,,349.0899145980602,,14916.937977687623,,761.0606768161329,,15.746064583269929,full,TopoFiberDINO Coordinate (ours),217.63858997821808,147.32619747519493,524.5780993700027,146.2995484471321,545.4203900098801,238.56351524591446,103.32830857061167,996.4361421233106,418.24819775278655,997.7012313612814,438.9349610887884,1092.5191440519804,False
V01_f0000012,train,0.4,unvalidated_triangle,107.4863129334545,,344.6425405790164,,346.17089186528693,,371.98485758310903,,18522.17798342847,,825.6420623818505,,16.718975961187155,full,TopoFiberDINO Coordinate (ours),215.69743394851685,135.96081733703613,551.0806257724762,126.44638493657112,563.7965638637543,229.8460453748703,93.91981676205518,985.3661137181458,439.92718093115695,974.7270199804835,453.30042691972164,1081.3781510563322,False
V01_f0000013,train,0.43333333333333335,unvalidated_triangle,100.77944735053966,,244.10566843483278,,278.7703760227167,,339.1244234918926,,12300.41717999826,,718.6742468651489,,15.083240116489005,full,TopoFiberDINO Coordinate (ours),216.54601228237152,141.92524552345276,488.8952031135559,149.59225058555603,534.0178527832031,237.1458113193512,87.42302883369271,979.6256235647801,366.09841134737627,986.9025548341423,412.44903912169195,1076.3906340023032,False
V01_f0000014,train,0.4666666666666667,unvalidated_triangle,107.74873196679142,,286.5245080035823,,310.71233199478513,,366.13219336549093,,15436.326207397387,,784.5932573270675,,15.74639014449035,full,TopoFiberDINO Coordinate (ours),213.61364942789078,144.7528637945652,516.6494936943054,143.66445690393448,557.6475801467896,240.4245212674141,78.95448707361336,975.9500755570182,389.6645826293882,974.7711890659413,431.72104742964154,1073.9732203402882,False
V01_f0000015,train,0.5,unvalidated_triangle,95.08228164273409,,357.02129102439494,,368.33306091105123,,357.04965708137104,,16973.199472817025,,820.4649996351563,,14.958635086157434,full,TopoFiberDINO Coordinate (ours),189.88499867916107,144.010741263628,551.2726784944534,148.75419437885284,527.1437638998032,238.87746781110764,61.83114263496424,965.0100542375089,430.16203367285607,966.2743593181099,406.4628749944302,1058.3557915415663,False
V01_f0000016,train,0.5333333333333333,unvalidated_triangle,110.5517405411746,,250.30783715946097,,313.41410552983,,390.06768773365775,,13835.983534537656,,814.0335338046624,,13.082306959579842,full,TopoFiberDINO Coordinate (ours),190.2521465420723,150.54432302713394,497.99130952358246,142.89002493023872,565.4726921319962,227.9585525393486,63.37070850072993,956.692010510284,376.6660559316622,948.0649123194157,445.6009211402521,1034.4921747737867,False
V01_f0000017,train,0.5666666666666667,unvalidated_triangle,112.10671293095821,,287.83824104852835,,318.22269859747917,,379.8152789859586,,16134.29952988966,,810.1446905143961,,15.484557449435952,full,TopoFiberDINO Coordinate (ours),181.0409458577633,155.87521344423294,491.76510512828827,141.20209962129593,543.1204525232315,238.01091313362122,58.665129743774514,950.8945954396596,376.5559492701427,936.3648754314813,428.94224259572536,1035.4789075146848,False
V01_f0000018,train,0.6,unvalidated_triangle,110.55922863187547,,352.84218660043024,,355.4403125411327,,359.27106733716056,,19504.979989663916,,825.2706085101687,,17.78720486649938,full,TopoFiberDINO Coordinate (ours),188.4947392642498,162.08698600530624,533.7322961091995,149.75716173648834,524.5791982412338,256.82075321674347,75.34067909852749,941.721908667174,430.63696208592285,931.6042471449251,420.42319844231554,1041.6906771347647,False
V01_f0000019,train,0.6333333333333334,unvalidated_triangle,103.4480397506186,,356.3063270633535,,376.84395452830057,,356.82647223946907,,18429.595542723353,,837.1184665183882,,15.909069544110194,full,TopoFiberDINO Coordinate (ours),165.6721203327179,158.3705171942711,535.2200179100037,156.0741439461708,502.78353691101074,252.19593197107315,73.77008374201539,921.6663327288122,450.57240292449706,916.0646969649424,418.34536042889965,1014.3648223983951,False
V01_f0000020,train,0.6666666666666667,unvalidated_triangle,104.69640171767854,,358.23983151374637,,389.5738151481749,,361.4917337053202,,18753.210655718332,,855.7619505711737,,15.445902169052703,full,TopoFiberDINO Coordinate (ours),178.57740142941475,147.99576625227928,560.3234814405441,159.63665395975113,517.1349450349808,252.74844467639923,95.60364000600777,892.7326341256455,485.0576308754959,902.3942305223605,441.5442955244804,997.6198897705883,False
V01_f0000021,train,0.7000000000000001,unvalidated_triangle,94.03856652085878,,385.77747612631225,,400.95109212322564,,386.0776101057601,,18138.980425476613,,881.0672687498445,,13.553688845268452,full,TopoFiberDINO Coordinate (ours),191.1973755955696,145.8040103316307,581.7217010259628,149.7558429837227,555.8708552122116,237.63010650873184,116.01923963694821,875.1927791035072,516.9614897185799,877.8555547766996,490.73570915414234,968.1631426477304,False
V01_f0000022,train,0.7333333333333334,unvalidated_triangle,133.37022892267072,,284.3507531568523,,321.83119549389625,,401.95660235341967,,18961.962521431615,,857.1580267699867,,17.047286692935728,full,TopoFiberDINO Coordinate (ours),174.981282889843,137.53460347652435,489.0775158405304,131.850466132164,552.1221559047699,245.75302004814148,107.34218628477022,845.8850469620078,429.0852402106451,838.3534041477203,494.29052403710244,954.6972433657758,False
V01_f0000023,train,0.7666666666666667,unvalidated_triangle,129.24020566970427,,275.3364757507269,,288.524934890053,,349.62795801625145,,17792.271377197743,,767.3930985760087,,20.655851746617415,full,TopoFiberDINO Coordinate (ours),192.80559861660004,134.7532421350479,474.1482512950897,128.55646759271622,514.4631395339966,247.98935651779175,128.46157869974934,823.5874498864284,416.87773616800035,815.6654448019602,458.8770875440128,937.8909955086013,False
V01_f0000024,train,0.8,unvalidated_triangle,119.43899885071413,,373.60023403790063,,378.064427730773,,413.5649317748568,,22311.21896193967,,911.0683583563439,,16.582359400524467,full,TopoFiberDINO Coordinate (ours),166.9323508143425,136.94516569375992,535.0775142908096,138.2846161723137,552.4797385931015,253.2813996076584,103.85044208701694,808.0654548885163,481.91332615756755,806.985082890395,500.5510754642563,924.9609649478813,False
V01_f0000025,train,0.8333333333333334,unvalidated_triangle,116.78472516598966,,371.42899889828465,,371.7895611289938,,394.5753149195543,,21688.616777507425,,883.1496012145377,,17.198840214386756,full,TopoFiberDINO Coordinate (ours),183.86852884292603,137.4596804380417,545.541465640068,123.63744154572487,554.8811718225479,236.94303631782532,113.28082242619422,786.6382023772007,484.8951595016533,775.2249537398993,493.61639447676157,891.6835819844596,False
V01_f0000026,train,0.8666666666666667,unvalidated_triangle,145.84955022521797,,393.40200628959775,,420.5658467547602,,393.41230367795936,,28688.752837518103,,959.8277006579375,,20.290768696566307,full,TopoFiberDINO Coordinate (ours),179.74688762426376,130.3744800388813,591.1530630588531,125.37264078855515,542.3319125175476,259.44388657808304,106.7401981371889,762.0743798143338,527.302811011914,760.4251046606505,476.2714089619177,897.0555818819133,False
V01_f0000027,train,0.9,unvalidated_triangle,147.5238655970654,,381.343089333542,,409.2800088155426,,381.34466150221857,,28128.60332860558,,938.1485359148267,,21.127576226155206,full,TopoFiberDINO Coordinate (ours),173.22838348150253,132.89344310760498,573.9734600782394,121.36168777942657,525.394161105156,257.45871663093567,99.83991265442675,750.4617420320212,509.0457107813219,742.6681295588885,458.10358520947887,881.1173648869451,False
V01_f0000028,train,0.9333333333333333,unvalidated_triangle,119.3386677081841,,367.75872063509115,,367.7592444041255,,386.4459051609047,,21943.917879329027,,873.5438172732144,,17.9875516758013,full,TopoFiberDINO Coordinate (ours),165.00570487976074,137.68619298934937,527.9359501600266,139.71839100122452,527.0777317285538,257.48875737190247,98.83255527748699,730.8524872701596,466.5868226127051,732.7657832300921,465.764546116671,852.1016180481737,False
V01_f0000029,train,0.9666666666666667,unvalidated_triangle,158.0629994404033,,306.28648856212595,,324.55422328432746,,405.2844603599495,,24206.280535099202,,887.9016830846801,,21.595615774253396,full,TopoFiberDINO Coordinate (ours),168.53865081071854,125.26967748999596,487.56726717948914,115.45443534851074,543.4694440364838,260.50007343292236,96.99327493912564,706.2709126175033,421.45553254538623,698.5451608261452,477.27265560695355,846.4247083140476,False
V01_f0000030,train,1.0,unvalidated_triangle,116.72615625657996,,383.32216635579965,,390.9049705286837,,385.4144371891222,,22371.8615433289,,893.0455639743859,,17.27654058011269,full,TopoFiberDINO Coordinate (ours),177.83749896287918,132.08390772342682,564.5314090251923,124.29458275437355,544.1792149543762,237.97933012247086,107.5812876373973,700.001939647129,498.46811691730073,696.2359497992061,476.6924301824824,810.9129528192649,False
V01_f0000031,train,1.0333333333333334,unvalidated_triangle,87.45843327670717,,369.0112489863308,,369.07042030123574,,377.764478835406,,16136.572848912696,,834.2933324133489,,13.384141675596403,full,TopoFiberDINO Coordinate (ours),187.12271112203598,131.44714012742043,547.489564538002,147.67031371593475,542.1166836023331,232.98373818397522,118.35333731822747,701.7633623647384,487.0525072780162,718.3132026145304,481.5668732328381,805.5994293077414,False
V01_f0000032,train,1.0666666666666667,unvalidated_triangle,93.63237401231162,,348.6892175823965,,384.88042995739147,,355.51010259510474,,16324.299617367627,,834.0229065648078,,13.804455548494515,full,TopoFiberDINO Coordinate (ours),196.84629797935486,159.0208299458027,576.1149603128433,156.89849853515625,537.5217036008835,240.7081425189972,126.94810018002839,720.3217494225385,511.8192570641097,717.6500527901727,472.77007782262285,802.7510696098773,False
V01_f0000033,train,1.1,unvalidated_triangle,84.56358378041256,,392.6142086325486,,392.893885713328,,398.7603538328316,,16600.43226253945,,876.2178233265722,,12.234612690698654,full,TopoFiberDINO Coordinate (ours),181.54656398296356,159.47659313678741,569.0467708110809,150.78040212392807,567.7707815170288,234.1943308711052,109.24832629533313,713.6980044778979,502.0360471832586,704.5650011062337,500.81107454249786,789.1197120561047,False
V01_f0000034,train,1.1333333333333333,unvalidated_triangle,74.87790562345816,,364.2281837844386,,382.13790506844106,,366.49940621794724,,13636.321785407385,,823.5152169098465,,11.228977022956538,full,TopoFiberDINO Coordinate (ours),183.32710999250412,155.7808667421341,562.1024540662766,169.7448268532753,537.0393990278244,239.65758830308914,110.0376497958375,697.7739962152405,491.89588121304575,712.3914374762394,466.528016811179,782.8412224740945,False
V01_f0000035,train,1.1666666666666667,unvalidated_triangle,108.74472318953109,,297.83139419985923,,304.6426627956955,,344.33242697540305,,16193.796259707904,,757.7198129606296,,17.9840466172963,full,TopoFiberDINO Coordinate (ours),184.8045173883438,153.6346971988678,488.6403149366379,145.10683715343475,514.4223314523697,250.49854069948196,112.65573302731923,683.4779481994573,417.18981058275426,675.344830549249,442.88648401169655,781.0098474481925,False
V01_f0000036,train,1.2,unvalidated_triangle,87.5817603204545,,356.1832892588951,,360.6973570931387,,357.5034945160466,,15597.579735011836,,805.7826119296398,,13.999631001607455,full,TopoFiberDINO Coordinate (ours),184.35225695371628,155.11803701519966,542.3986939191818,159.14663672447205,527.7215703725815,244.84243243932724,111.53281536071107,678.8592186698329,472.2045387656132,683.159375656849,457.3617692068838,769.4742465230908,False
V01_f0000037,train,1.2333333333333334,unvalidated_triangle,76.73818309720961,,381.91042369408325,,388.1340162035329,,381.98426998389385,,14653.55601008473,,846.8564692846363,,11.400875001502897,full,TopoFiberDINO Coordinate (ours),185.41334199905396,172.84824326634407,571.9212181568146,168.57969760894775,559.1219656467438,243.92158538103104,114.76727725875308,687.3994042162851,502.88128858066466,683.4587507299398,489.9616097268281,759.1015338845448,False
