model,label,epochs_run,best_epoch,last_epoch,validation_pseudo_loss,validation_vertex_error_normalized,checkpoint_selection,test_pseudo_iou,test_pseudo_vertex_error_normalized,test_threshold_stability,test_flagged_frames,true_test_iou,true_test_dice
baseline,DINO base adapter,500,34,500,0.5699215271534064,0.07822308861292325,vertex_error,0.47466261741834126,0.0830570051544591,0.925886901745308,17,,
directional,DINO direction + auxiliary,500,9,500,0.5577153059152457,0.07972298218653752,vertex_error,0.4902394914961237,0.07972067123965214,0.9264998731158824,17,,
full,TopoFiberDINO Coordinate (ours),500,5,500,0.5111900078944671,0.07486281410241738,vertex_error,0.5273170800095333,0.0747516343468114,0.9210572647892598,17,,
unet_small,Small RGB U-Net,500,75,500,0.5441287358601888,0.07646772418266688,vertex_error,0.44271897471276567,0.08673275301330968,0.9236308801819293,17,,
dino_linear,DINO linear probe,500,64,500,0.5942606589733026,0.0774916593845074,vertex_error,0.4757620360580744,0.07888874568437275,0.9215934337370911,17,,
dino_pyramid,DINO multiscale decoder,500,110,500,0.5709417401215969,0.08024890300555107,vertex_error,0.4793656502223544,0.08210725533334833,0.9240030685769758,17,,
